category,country,year,capacity_mw,group,is_renewable
Fossil_Brown_coal_Lignite,GR,2014,4456.0,other,False
Hydro_Mixed_pumped_storage_renewable,GR,2014,699.0,other,False
Hydro_Pure_storage,GR,2014,2470.0,other,False
Hydro_RunOfRiver_and_poundage,GR,2014,220.0,other,False
Other_renewable,GR,2014,234.0,other,False
Solar_PV,GR,2014,2595.0,other,False
Wind_onshore,GR,2014,1978.0,other,False
Biomass,GR,2014,47.0,renewable,True
Fossil Gas,GR,2015,5613.0,fossil,False
Fossil Oil,GR,2015,2451.0,fossil,False
Fossil_Brown_coal_Lignite,GR,2015,4456.0,other,False
Hydro_Mixed_pumped_storage_renewable,GR,2015,699.0,other,False
Hydro_Pure_storage,GR,2015,2470.0,other,False
Hydro_RunOfRiver_and_poundage,GR,2015,224.0,other,False
Other_renewable,GR,2015,235.0,other,False
Solar_PV,GR,2015,2605.0,other,False
Wind_onshore,GR,2015,2092.0,other,False
Biomass,GR,2015,52.0,renewable,True
Fossil Gas,GR,2016,5613.0,fossil,False
Fossil Oil,GR,2016,2451.0,fossil,False
Fossil_Brown_coal_Lignite,GR,2016,4456.0,other,False
Hydro_Mixed_pumped_storage_renewable,GR,2016,699.0,other,False
Hydro_Pure_storage,GR,2016,2470.0,other,False
Hydro_RunOfRiver_and_poundage,GR,2016,224.0,other,False
Other_renewable,GR,2016,235.0,other,False
Solar_PV,GR,2016,2605.0,other,False
Wind_onshore,GR,2016,2092.0,other,False
Biomass,GR,2016,52.0,renewable,True
Fossil Gas,GR,2017,4268.51,fossil,False
Fossil Oil,GR,2017,0.0,fossil,False
Fossil_Brown_coal_Lignite,GR,2017,3903.9,other,False
Hydro_Mixed_pumped_storage_non_renewable,GR,2017,0.0,other,False
Hydro_Mixed_pumped_storage_renewable,GR,2017,699.0,other,False
Hydro_Pure_storage,GR,2017,2470.0,other,False
Hydro_RunOfRiver_and_poundage,GR,2017,230.25,other,False
Other_renewable,GR,2017,230.25,other,False
Solar_PV,GR,2017,2448.25,other,False
Wind_onshore,GR,2017,2081.81,other,False
Biomass,GR,2017,60.46,renewable,True
Fossil Brown coal/Lignite,GR,2019,3912.0,fossil,False
Fossil Gas,GR,2019,4902.0,fossil,False
Fossil Oil,GR,2019,0.0,fossil,False
Biomass,GR,2019,51.0,renewable,True
Geothermal,GR,2019,0.0,renewable,True
Hydro Pumped Storage,GR,2019,699.0,renewable,True
Hydro Run-of-river and poundage,GR,2019,299.0,renewable,True
Hydro Water Reservoir,GR,2019,2403.0,renewable,True
Other renewable,GR,2019,69.0,renewable,True
Solar,GR,2019,2441.0,renewable,True
Wind Onshore,GR,2019,2355.0,renewable,True
Fossil Brown coal/Lignite,GR,2020,3362.0,fossil,False
Fossil Gas,GR,2020,4902.0,fossil,False
Fossil Oil,GR,2020,0.0,fossil,False
Biomass,GR,2020,86.0,renewable,True
Geothermal,GR,2020,0.0,renewable,True
Hydro Pumped Storage,GR,2020,699.0,renewable,True
Hydro Run-of-river and poundage,GR,2020,299.0,renewable,True
Hydro Water Reservoir,GR,2020,2403.0,renewable,True
Other renewable,GR,2020,105.0,renewable,True
Solar,GR,2020,2606.0,renewable,True
Wind Onshore,GR,2020,3153.0,renewable,True
Fossil Brown coal/Lignite,GR,2021,2561.0,fossil,False
Fossil Gas,GR,2021,4902.0,fossil,False
Fossil Oil,GR,2021,0.0,fossil,False
Biomass,GR,2021,95.0,renewable,True
Geothermal,GR,2021,0.0,renewable,True
Hydro Pumped Storage,GR,2021,699.0,renewable,True
Hydro Run-of-river and poundage,GR,2021,312.0,renewable,True
Hydro Water Reservoir,GR,2021,2403.0,renewable,True
Other renewable,GR,2021,106.0,renewable,True
Solar,GR,2021,3055.0,renewable,True
Wind Onshore,GR,2021,3755.0,renewable,True
Fossil Brown coal/Lignite,GR,2022,2001.0,fossil,False
Fossil Gas,GR,2022,5213.0,fossil,False
Fossil Oil,GR,2022,0.0,fossil,False
Biomass,GR,2022,106.0,renewable,True
Geothermal,GR,2022,0.0,renewable,True
Hydro Pumped Storage,GR,2022,699.0,renewable,True
Hydro Run-of-river and poundage,GR,2022,319.0,renewable,True
Hydro Water Reservoir,GR,2022,2403.0,renewable,True
Other renewable,GR,2022,109.0,renewable,True
Solar,GR,2022,3820.0,renewable,True
Wind Onshore,GR,2022,4150.0,renewable,True
Fossil Brown coal/Lignite,GR,2023,2650.0,fossil,False
Fossil Gas,GR,2023,6030.0,fossil,False
Fossil Oil,GR,2023,0.0,fossil,False
Biomass,GR,2023,127.0,renewable,True
Geothermal,GR,2023,0.0,renewable,True
