country,year,TOTAL,RA000,RA100,RA110,RA120,RA130,RA200,RA300,RA310,RA320,RA400,RA410,RA420,RA500_5160,CF,CF_R,CF_NR_OTH,C0000,G3000,O4000XBIO,FE,N9000,X9900,share_ra000,share_ra100,share_ra110,share_ra120,share_ra130,share_ra200,share_ra300,share_ra310,share_ra320,share_ra400,share_ra410,share_ra420,share_ra500_5160,share_cf,share_cf_r,share_cf_nr_oth,share_c0000,share_g3000,share_o4000xbio,share_fe,share_n9000,share_x9900
BE,2021,94701.808,21717.859,1226.092,324.263,0.0,901.83,0.0,11520.687,4632.737,6887.9490000000005,5643.664,0.0,5643.664,0.0,28312.02,4229.246,966.8149999999999,1576.17,21528.392,11.395,,47891.695,107.654,0.2293288740590887,0.012946870032301813,0.0034240423371853677,0.0,0.009522838254576935,0.0,0.12165223920540144,0.04891920331658293,0.07273302532935802,0.059594047032343875,0.0,0.059594047032343875,0.0,0.29895965660972385,0.044658556043618514,0.010209044794583013,0.016643504842061726,0.22732820475824494,0.00012032505229467213,,0.5057104611983754,0.0011367681596955361
BE,2022,89629.53,22462.771,1540.641,204.443,0.0,1336.195,0.0,11433.805,4827.45,6606.355,6801.695000000001,0.0,6801.695000000001,0.0,28164.702,4022.825,862.846,2039.648,21225.238,14.139,,41616.579,72.108,0.2506179715546874,0.017188988941479445,0.0022809781553021647,0.0,0.014907977315065693,0.0,0.12756738766788134,0.05386003920806011,0.07370734845982121,0.07588676410553531,0.0,0.07588676410553531,0.0,0.3142346278062598,0.044882808154857,0.009626804915745961,0.022756428601154104,0.2368107698433764,0.00015774934890320187,,0.4643177198407712,0.0008045116380728539
BE,2023,76781.1,24999.515,1529.531,317.491,0.0,1212.037,0.0,14539.012,6538.1720000000005,8000.839,7249.572,0.0,7249.572,0.0,22154.325,2893.437,850.078,1673.042,16730.841,6.926,,31230.171000000002,78.489,0.32559464503634356,0.01992067058169263,0.004135014997180295,0.0,0.01578561651239693,0.0,0.1893566515718061,0.08515340363709298,0.10420323491067462,0.0944187046030859,0.0,0.0944187046030859,0.0,0.2885387810281436,0.03768423479215588,0.011071448572630503,0.021789763366245076,0.2179031167826457,9.020449042798293e-05,,0.40674294845997255,0.0010222437552991556
BE,2024,70706.634,24545.979,1478.585,437.62,0.0,1040.964,0.0,13079.965,5925.9349999999995,7154.034,8492.396999999999,0.0,8492.396999999999,0.0,18015.195,2535.998,836.792,2029.422,12606.074,6.909,15479.197,29590.66,49.829,0.3471524185410947,0.020911545584251682,0.006189235369343136,0.0,0.014722296071964052,0.0,0.18498921897484186,0.08381016977841145,0.10117910576820839,0.12010749938966121,0.0,0.12010749938966121,0.0,0.2547879029285993,0.03586647895019299,0.011834702808791604,0.028702002700340675,0.1782870048657669,9.771360350713342e-05,0.2189214239784063,0.41849906191263464,0.0007047287811777322
BG,2015,43934.0,,5516.0,,,,0.0,2695.0,,,,,,,21195.0,,,,,,,14528.0,,,0.12555196431010152,,,,0.0,0.061342013019529296,,,,,,,0.4824281877361497,,,,,,,0.3306778349342195,
BG,2016,40281.0,,3924.0,,,,0.0,2663.0,,,,,,,18760.0,,,,,,,14934.0,,,0.0974156550234602,,,,0.0,0.06611057322310766,,,,,,,0.46572825898066084,,,,,,,0.3707455127727713,
BG,2017,40724.624,5536.7119999999995,3033.8720000000003,2134.233,295.926,603.713,0.0,1446.635,1446.635,0.0,1326.309,0.0,1324.309,0.0,20165.604,333.609,0.0,17920.475,1611.7849999999999,224.73499999999999,,14718.367,33.836999999999996,0.1359548954951677,0.07449723783821798,0.05240645070166885,0.0072665127614192325,0.014824274375129894,0.0,0.03552236602601905,0.03552236602601905,0.0,0.03256774083414496,0.0,0.032518630497361985,0.0,0.49516980193604726,0.008191825171915643,0.0,0.44004028128043604,0.03957765208587315,0.005518405768460869,,0.36141198013270787,0.0008308732328627514
BG,2018,41712.773,7226.045,4692.543,3702.814,737.1519999999999,252.348,0.0,1326.248,1326.248,0.0,1044.026,0.0,1044.026,0.0,19336.586,415.576,0.0,16963.918,1764.134,192.958,,15291.202,22.168,0.17323338824776766,0.11249654871902186,0.08876930814453404,0.01767209291024598,0.006049657739129451,0.0,0.03179476943429294,0.03179476943429294,0.0,0.025028928189454104,0.0,0.025028928189454104,0.0,0.46356510510581495,0.009962799644128191,0.0,0.40668401498984497,0.04229241724111701,0.004625873230724795,,0.36658320462175936,0.0005314439296567504
BG,2019,40308.969,6891.237,3355.31,2660.857,282.483,411.97,0.0,1317.79,1317.79,0.0,1424.289,0.0,1424.289,0.0,18468.254,1205.818,36.86,15074.84,1900.05,250.686,,15712.445,30.881,0.1709603884931912,0.0832397871550622,0.06601153703534318,0.007007944063267905,0.01022030605645111,0.0,0.032692227876133476,0.032692227876133476,0.0,0.03533429495554699,0.0,0.03533429495554699,0.0,0.4581673622066593,0.02991438456289964,0.0009144366852945309,0.37398227674838325,0.04713715203184681,0.006219112178235073,,0.3898002203926377,0.0007661074139604018
BG,2020,37289.564,7178.874,3374.6220000000003,2553.957,374.95,445.71500000000003,0.0,1478.126,1478.126,0.0,1478.416,0.0,1478.416,0.0,15135.729,1293.425,1.073,11591.105,2036.3760000000002,213.517,,15787.267,35.403999999999996,0.19251697338161422,0.09049775964127658,0.06848985952209041,0.010055092089572299,0.011952808029613864,0.0,0.039639133351089866,0.039639133351089866,0.0,0.039646910325902444,0.0,0.039646910325902444,0.0,0.4058971834586213,0.0346859780929592,2.877480680653708e-05,0.3108404539135936,0.05460980986530173,0.005725918382955618,,0.4233695786842667,0.0009494345388430928
